id,timestamp,symbol,direction,action,quantity,entry_price,exit_price,status,realized_pnl,realized_pnl_percent,max_profit_percent,max_drawdown_percent,regime,confidence,reasons
paper_ELGIEQUIP_NS_1786938399417,1786938399.4182851,ELGIEQUIP.NS,BUY,BUY,22,614.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.74% (0.29x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_HEG_NS_1786938399716,1786938399.7164893,HEG.NS,BUY,BUY,19,704.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.43% (0.14x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_POONAWALLA_NS_1786938400090,1786938400.091276,POONAWALLA.NS,BUY,BUY,25,499.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.22% (0.07x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_SWANCORP_NS_1786938491039,1786938491.0399823,SWANCORP.NS,SELL,SELL,39,304.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.20% (0.09x ATR, NORMAL band); No news available."
paper_HONASA_NS_1786938491261,1786938491.261641,HONASA.NS,BUY,BUY,22,507.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.84% (0.27x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_GLENMARK_NS_1786938491709,1786938491.7104754,GLENMARK.NS,BUY,BUY,4,2329.699951171875,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.49% (0.21x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_NATIONALUM_NS_1786938492604,1786938492.6051354,NATIONALUM.NS,BUY,BUY,27,377.8999938964844,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.51% (0.14x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_NBCC_NS_1786938492965,1786938492.9655032,NBCC.NS,SELL,SELL,111,89.45999908447266,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.35% (0.18x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_NSLNISP_NS_1786938493530,1786938493.5308948,NSLNISP.NS,BUY,BUY,221,43.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -3.37% (1.36x ATR, WARNING band); No news available."
paper_HDFCAMC_NS_1786938493840,1786938493.8405435,HDFCAMC.NS,SELL,SELL,3,2481.60009765625,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.14% (0.07x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_HUDCO_NS_1786938495298,1786938495.298906,HUDCO.NS,SELL,SELL,45,189.60000610351562,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.21% (0.08x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_BERGEPAINT_NS_1786938495605,1786938495.6064126,BERGEPAINT.NS,BUY,BUY,15,549.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.72% (0.21x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_SHRIRAMFIN_NS_1786938495938,1786938495.9387515,SHRIRAMFIN.NS,BUY,BUY,7,1116.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.53% (0.22x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_PNBHOUSING_NS_1786938496593,1786938496.5935135,PNBHOUSING.NS,BUY,BUY,6,1140.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.91% (0.28x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_AUROPHARMA_NS_1786938496938,1786938496.9394886,AUROPHARMA.NS,BUY,BUY,4,1630.5999755859375,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.52% (0.21x ATR, NORMAL band); No NEW overnight news since last night's scan."
